,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
0.0003341715487711109,0.3193304196056018,1.0,1803.1026569416042,0.9519877196376126,-3.0379113429993315e-28,0.0,0.0006036390863855018,0.0003007351362846497,0.0009984611676709155,0.010022025282088967,0.0013850298838941645,0.005129791783928771,9.87712629630329e-07,2.0852493461954702e-07,0.007870517320114817,0.021700768199819538,1.2519256843312842e-15,9.102943994572965e-16,4.556541511111254e-16,2.3204280105453783e-16,1.7699945714043286e-14,4.539776158025502e-15,1.1605869809123083e-07,1.079223766560338e-10,1.0850538882924773e-14,1.2269536729487438e-15,2.249571567923218e-16,-4.510307211599037e-22,-1.5016694818682063e-19,-2.9475949773846154e-20,-9.234280096158249e-19,-6.050064328319752e-22,-2.620717242472623e-23,-1.1448126601517003e-17,-6.817490224435117e-16,-4.865909034279317e-18,-1.991948340885205e-17,6.584943775737133e-16,-2.7932703743969143e-20,9.762970769377967e-11,2.904247991526147e-24
0.0003343031277326861,0.3193304196056018,1.0,1803.2538547259055,0.9519877196376126,-2.8462473035663844e-28,0.0,0.0006037063714744565,0.0003006768601079481,0.0009982338176480784,0.010020192067731085,0.0013851884093137802,0.005129627468486225,9.873269802194922e-07,2.084789836041715e-07,0.007866914755038007,0.021706428604088678,1.265545550856816e-15,9.118932784548577e-16,4.550660159584459e-16,2.33049765190508e-16,1.8201816267981782e-14,4.519632635040863e-15,1.1599671751128928e-07,1.0782175807834824e-10,1.0838648301731745e-14,1.2253223265326673e-15,2.2462162561100476e-16,-1.6863322474518422e-21,-2.2585722671222395e-19,-4.772970843911099e-20,-8.664667204283224e-19,-5.826856120550385e-22,-2.6066582188444857e-23,-1.324451551365098e-17,-5.796909284457442e-16,-1.4491757935688809e-18,-1.7188757982335057e-17,-6.72281518940255e-16,-1.0142283690413156e-21,9.761130243655916e-11,1.7273937413649732e-24
0.00033443470669426137,0.3193304196056018,1.0,1803.4049671966595,0.9519877196376126,-2.528672548885117e-28,0.0,0.0006037735677661474,0.0003006185411280719,0.0009980064326394142,0.010018361200045393,0.0013853467982662753,0.005129464401134401,9.869418022028276e-07,2.0843306530630513e-07,0.00786331795368269,0.021712079952345743,1.2694430075995823e-15,9.059694218567284e-16,4.564854940000083e-16,2.3558311886341044e-16,1.9226559839098718e-14,4.527749645569301e-15,1.1593481586690024e-07,1.0772148448911977e-10,1.0823917473654781e-14,1.2237785797463554e-15,2.255115988795529e-16,-1.8581872428212606e-21,-1.9192023840071338e-19,6.736101529346051e-20,-8.293451040927548e-19,-5.759420156687271e-22,-2.5076709493825236e-23,-1.4241120567458224e-17,-8.705579328944973e-16,-1.8030348364274115e-17,-2.1611268448179887e-17,-3.773425754855934e-15,-2.468039965054835e-21,9.759286577989486e-11,1.74584863551754e-24
0.0003345662856558366,0.3193304196056018,1.0,1803.5559943988014,0.9519877196376126,-1.571482125563386e-28,0.0,0.0006038406754157494,0.0003005601794275925,0.000997779012786902,0.010016532675848238,0.0013855050518219673,0.005129302579181467,9.865570947695036e-07,2.083871793182688e-07,0.007859726908291521,0.021717722256766128,1.2635547954537801e-15,9.089091390506696e-16,4.569968377090399e-16,2.325799695163314e-16,1.762231162691828e-14,4.530387883692294e-15,1.158729946028162e-07,1.0762122488684525e-10,1.0811900782927813e-14,1.2230966825419174e-15,2.258780560486423e-16,-1.4144012804979713e-21,-1.090686613846475e-19,3.267899408836013e-20,-8.246922639689488e-19,-5.633298180347145e-22,-2.4851183360737096e-23,-1.798990634786675e-17,-1.0509093646975804e-15,-1.2684659237170607e-17,-2.4134544632970586e-17,6.345077076291611e-16,-4.710339723643509e-21,9.757439784391747e-11,2.072087512754838e-24
0.00033469786461741186,0.3193304196056018,1.0,1803.7069363939177,0.9519877196376126,1.3748298444942926e-29,0.0,0.000603907694470429,0.00030050177514458616,0.0009975515583938203,0.010014706491963463,0.0013856631697656023,0.005129142001086353,9.861728571839623e-07,2.0834132576158925e-07,0.007856141611093352,0.02172335552957612,1.2611476321475247e-15,9.09435646333376e-16,4.516041710149087e-16,2.3145545176269367e-16,1.871689104199213e-14,4.527952973045216e-15,1.1581125316611333e-07,1.0752107670248256e-10,1.0798520266456293e-14,1.2198430250812075e-15,2.2593534034917817e-16,-1.301395108768888e-21,-1.5165305627987912e-19,8.297778145268619e-20,-8.2285217006869235e-19,-5.461722704597246e-22,-2.4632474474415953e-23,-2.1524698349903395e-17,-1.1230302139223063e-15,-2.14015624649147e-17,-2.5492839509594785e-17,-2.625514773043421e-15,2.885646005284916e-20,9.755589871132277e-11,1.9287144566235337e-24
0.000334795033430271,0.3193304196056018,1.0,1803.8183498150256,0.9519877196376126,9.441103531228201e-29,0.0,0.0006039571300579662,0.00030045861732399555,0.0009973835652084654,0.01001335938682143,0.001385779850062162,0.005129024214402237,9.858894054819763e-07,2.083074845334703e-07,0.007853497615744014,0.02172750981479779,1.2629032221640834e-15,9.032614840107812e-16,4.526586430318565e-16,2.332594765327207e-16,1.8079288030311058e-14,4.527604726583257e-15,1.157657088745528e-07,1.0744726726085692e-10,1.0789511053957786e-14,1.2180513202573251e-15,2.260682049373339e-16,-1.6713940415927194e-21,-2.0504050094175878e-19,1.2354238202077797e-19,-8.146752188030079e-19,-5.444224936432034e-22,-2.3807621052699872e-23,-2.2075471648720754e-17,-1.2012365532328388e-15,-3.25742974755619e-17,-2.694448705582191e-17,-9.063186802138124e-16,5.648406996199535e-20,9.754221742367827e-11,1.6464587058371775e-24
0.0003348658983749618,0.3193304196056018,1.0,1803.8995740379755,0.9519877196376126,1.097766887617017e-28,0.0,0.0006039931529068365,0.0003004271278543651,0.0009972610364550332,0.010012377749793485,0.0013858648985440034,0.005128938739207134,9.856828460806314e-07,2.0828281517326922e-07,0.007851571329606889,0.02173053642452928,1.2617251686796679e-15,9.029867828456793e-16,4.527950714598467e-16,2.2946177861546496e-16,1.7465725751091794e-14,4.513868409300024e-15,1.1573252131788397e-07,1.0739336215110902e-10,1.0783891642837814e-14,1.2183815645203093e-15,2.253791560072481e-16,-1.818272039356824e-21,-1.7560539529259002e-19,-4.543361650775454e-21,-8.14174889968953e-19,-5.459707014296244e-22,-2.344329626435234e-23,-2.2952394150104694e-17,-1.064184163092016e-15,-8.371011712999639e-18,-2.439671967444602e-17,8.730336500702607e-16,4.294308144773652e-20,9.753222903152376e-11,1.5303418133081795e-24
0.00033493676331965264,0.3193304196056018,1.0,1803.980773582169,0.9519877196376126,1.245511453486841e-28,0.0,0.0006040291501168025,0.0003003956261108411,0.0009971384978271556,0.010011396789523978,0.0013859499078706496,0.005128853623489997,9.85476422448974e-07,2.0825815516562167e-07,0.007849646705666917,0.021733560422603666,1.2596725069027157e-15,9.024829154583184e-16,4.505854893703944e-16,2.3000488641847347e-16,1.8059342181282962e-14,4.496623360622858e-15,1.1569935662982865e-07,1.0733950625660546e-10,1.0777987576892545e-14,1.2174130027497917e-15,2.2451367061005015e-16,-1.7792674766047823e-21,-1.7186258044035603e-19,-6.651710581474723e-20,-8.099611789274571e-19,-5.434737810074889e-22,-2.330902696471895e-23,-2.120357879858357e-17,-8.761381640227211e-16,4.952710279769863e-18,-2.1023663414570936e-17,-7.547343093620178e-16,9.293176172144667e-21,9.7522231653717e-11,1.5096581481376093e-24
0.00033500762826434345,0.3193304196056018,1.0,1804.0619484644874,0.9519877196376126,1.3880643656289252e-28,0.0,0.0006040651216466317,0.0003003641121396566,0.0009970159494389111,0.010010416505506855,0.0013860348774625566,0.0051287688675135,9.852701344828261e-07,2.0823350474026543e-07,0.007847723742691378,0.021736581810957466,1.2583457905229775e-15,9.003732876040745e-16,4.518269890290361e-16,2.337117112610795e-16,1.9077423672942988e-14,4.498430008105583e-15,1.1566621414117881e-07,1.0728592090380113e-10,1.0769833959707646e-14,1.215907553716429e-15,2.2467937678578165e-16,-1.836307833918305e-21,-1.922090723498322e-19,5.646746798777253e-20,-8.017502194438343e-19,-5.394686188693436e-22,-2.3179957439512022e-23,-1.9021111882029234e-17,-9.756119981076013e-16,-1.51418721264119e-17,-2.2730802910954906e-17,-3.7368556212375395e-15,-3.8611781697149494e-21,9.75122252645734e-11,1.4871217036740608e-24
0.00033507849320903426,0.3193304196056018,1.0,1804.143098687524,0.9519877196376126,1.7657525060344695e-28,0.0,0.0006041010675485671,0.0003003325859385915,0.00099689339128105,0.010009436897224201,0.0013861198078295113,0.005128684470560249,9.850639820792172e-07,2.08208863675508e-07,0.00784580243947436,0.02173960059147449,1.2579553889885323e-15,9.022181203882184e-16,4.550172772915716e-16,2.323542867231691e-16,1.7589224405306363e-14,4.502270764805812e-15,1.1563309499959786e-07,1.0723238205487008e-10,1.0763378097540791e-14,1.2147106089409237e-15,2.2498741562910366e-16,-1.855162960386705e-21,-1.9173205660075036e-19,8.560029334015076e-20,-7.978407174332712e-19,-5.331459598186586e-22,-2.2937413575039377e-23,-2.0748539148866873e-17,-1.1079065016144278e-15,-2.4231139917625816e-17,-2.4811195898249945e-17,4.1329084410885056e-16,1.3825048391633963e-20,9.750220988729061e-11,1.4832191014291844e-24
