Sr,a,b,Ox,bg1,bg2,bg3,bg4,bg5,T,P,Tig,sigma
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1493,5,0.0812,0.0081
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1469,5,0.1157,0.0116
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1410,5,0.1905,0.0190
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1390,5,0.2227,0.0223
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1341,5,0.3147,0.0315
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1293,5,0.4813,0.0481
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1275,5,0.6092,0.0609
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1270,5,0.7056,0.0706
TMB_PHI_2_P_5,0.03382,0,0.2029,0.76328,0,0,0,0,1249,5,0.8482,0.0848
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1587,2,0.0503,0.0050
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1531,2,0.1005,0.0100
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1491,2,0.1187,0.0119
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1488,2,0.1227,0.0123
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1444,2,0.1956,0.0196
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1431,2,0.2163,0.0216
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1414,2,0.2183,0.0218
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1375,2,0.3089,0.0309
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1340,2,0.5067,0.0507
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1305,2,0.6698,0.0670
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1286,2,0.8010,0.0801
TMB_PHI_2_P_2,0.03382,0,0.2029,0.76328,0,0,0,0,1255,2,1.3746,0.1375
