"Time  (sec)","Volume  (cm3)","Temperature  (K)","Pressure  (bar)","Mole_fraction_AR  ()","Mole_fraction_HE  ()","Mole_fraction_N2  ()","Mole_fraction_H2  ()","Mole_fraction_H  ()","Mole_fraction_O  ()","Mole_fraction_O2  ()","Mole_fraction_OH  ()","Mole_fraction_H2O  ()","Mole_fraction_HO2  ()","Mole_fraction_H2O2  ()","Mole_fraction_CO  ()","Mole_fraction_CO2  ()","Mole_fraction_C  ()","Mole_fraction_CH  ()","Mole_fraction_CH2  ()","Mole_fraction_CH2(S)  ()","Mole_fraction_CH3  ()","Mole_fraction_CH4  ()","Mole_fraction_HCO  ()","Mole_fraction_CH2O  ()","Mole_fraction_CH2OH  ()","Mole_fraction_CH3O  ()","Mole_fraction_CH3OH  ()","Mole_fraction_C2H  ()","Mole_fraction_C2H2  ()","Mole_fraction_C2H3  ()","Mole_fraction_C2H4  ()","Mole_fraction_C2H5  ()","Mole_fraction_C2H6  ()","Mole_fraction_HCCO  ()","Mole_fraction_CH2CO  ()","Mole_fraction_CH2CHO  ()","Mole_fraction_CH3CHO  ()","Mole_fraction_CH3CO  ()","Mole_fraction_H2CC  ()","Mole_fraction_OH*  ()","Mole_fraction_CH*  ()","Specific_heat_Cp  (erg/g-K)","Heat_capacity_ratio  ()","Entropy  (erg/g-K)","Ppmvd15%O2_CO  (ppm)"
0.047,1,2420.156,1.37294,0.945094,1.467675E-22,0,4.881868E-05,0.0001360789,0.0007345827,0.01859076,0.000544281,0.001337415,1.263488E-07,7.165197E-10,0.002831126,0.03068284,9.676443E-16,4.400168E-18,3.648356E-19,2.730613E-20,1.278732E-19,2.683119E-21,2.218378E-10,1.641814E-13,1.104476E-19,6.201281E-21,3.228073E-22,4.66258E-24,3.358462E-23,3.440484E-29,1.288165E-30,2.218238E-36,7.910335E-39,2.174452E-20,3.104397E-21,5.346684E-28,7.858613E-30,2.780081E-27,2.453011E-26,3.417761E-12,1.770446E-24,6405796,1.483504,52766080,888.7617
0.048,1,2420.452,1.373094,0.9451035,6.798474E-23,0,4.860974E-05,0.0001350363,0.0007304995,0.01858602,0.0005431395,0.001338733,1.259059E-07,7.127803E-10,0.002817376,0.03069693,9.614473E-16,4.359471E-18,3.619767E-19,2.709196E-20,1.265426E-19,2.66031E-21,2.192647E-10,1.627919E-13,1.087592E-19,6.099135E-21,3.186934E-22,4.734025E-24,2.787154E-23,3.775606E-29,1.261684E-30,2.080765E-36,7.563184E-39,2.154946E-20,3.079387E-21,5.2615E-28,7.296522E-30,2.737809E-27,2.122E-26,3.412957E-12,1.757001E-24,6405846,1.483491,52766090,884.4245
0.049,1,2420.728,1.373238,0.9451125,-9.772087E-24,0,4.84136E-05,0.000134062,0.0007266773,0.01858158,0.0005420659,0.00133997,1.254916E-07,7.09278E-10,0.002804485,0.03071014,9.556311E-16,4.321573E-18,3.593107E-19,2.689221E-20,1.253053E-19,2.639079E-21,2.168703E-10,1.614938E-13,1.071941E-19,6.004506E-21,3.148735E-22,4.617277E-24,1.808912E-23,4.46103E-29,1.788207E-30,7.026869E-37,6.095679E-39,2.136772E-20,3.055512E-21,5.190076E-28,7.032298E-30,2.698637E-27,1.500409E-26,3.408467E-12,1.744477E-24,6405892,1.483479,52766090,880.3585
0.05,1,2420.988,1.373373,0.9451209,1.371206E-23,0,4.822943E-05,0.0001331511,0.0007230978,0.01857742,0.0005410558,0.00134113,1.251038E-07,7.059964E-10,0.002792396,0.03072253,9.501712E-16,4.286248E-18,3.568231E-19,2.670579E-20,1.241569E-19,2.619511E-21,2.1464E-10,1.602806E-13,1.057414E-19,5.916754E-21,3.113236E-22,4.435867E-24,2.86741E-23,3.492134E-29,1.586624E-30,1.096783E-36,6.315259E-39,2.11998E-20,3.034888E-21,5.114381E-28,7.165542E-30,2.662249E-27,2.131912E-26,3.404266E-12,1.732815E-24,6405936,1.483468,52766090,876.5456
0.051,1,2421.231,1.373499,0.9451287,7.916326E-23,0,4.805659E-05,0.000132299,0.0007197443,0.01857351,0.0005401053,0.001342219,1.247406E-07,7.029203E-10,0.002781056,0.03073415,9.45045E-16,4.253312E-18,3.545006E-19,2.653172E-20,1.230812E-19,2.601099E-21,2.12561E-10,1.591469E-13,1.043915E-19,5.835279E-21,3.080178E-22,4.546107E-24,4.6606E-23,2.166583E-29,7.36872E-31,2.905039E-36,8.036919E-39,2.104141E-20,3.016485E-21,5.042949E-28,6.939088E-30,2.628433E-27,3.218416E-26,3.400331E-12,1.721885E-24,6405977,1.483457,52766100,872.9691
0.052,1,2421.459,1.373618,0.9451361,1.252747E-22,0,4.789434E-05,0.0001315016,0.0007166015,0.01856984,0.000539211,0.001343241,1.244005E-07,7.000361E-10,0.002770416,0.03074505,9.402311E-16,4.222582E-18,3.523307E-19,2.636906E-20,1.220689E-19,2.583431E-21,2.106224E-10,1.580865E-13,1.031365E-19,5.759573E-21,3.04937E-22,4.629745E-24,2.980593E-23,3.444492E-29,1.053482E-30,2.252667E-36,7.465076E-39,2.089035E-20,2.996278E-21,4.983907E-28,6.743578E-30,2.597003E-27,2.187012E-26,3.396648E-12,1.711632E-24,6406015,1.483447,52766100,869.6135
0.053,1,2421.673,1.373729,0.945143,1.391993E-22,0,4.774184E-05,0.000130755,0.0007136554,0.0185664,0.0005383697,0.0013442,1.240818E-07,6.973313E-10,0.002760429,0.03075528,9.357097E-16,4.193885E-18,3.50303E-19,2.621704E-20,1.211313E-19,2.567209E-21,2.088134E-10,1.570935E-13,1.019692E-19,5.689203E-21,3.020699E-22,4.496808E-24,1.552805E-23,4.351809E-29,1.577834E-30,1.042333E-36,6.13763E-39,2.075122E-20,2.977359E-21,4.928379E-28,6.668212E-30,2.567759E-27,1.313635E-26,3.393199E-12,1.702085E-24,6406051,1.483438,52766100,866.4641
0.054,1,2421.874,1.373834,0.9451495,1.361323E-22,0,4.759844E-05,0.0001300559,0.0007108928,0.01856317,0.000537578,0.001345101,1.23783E-07,6.94794E-10,0.002751054,0.03076489,9.314623E-16,4.167073E-18,3.484076E-19,2.607491E-20,1.202692E-19,2.552732E-21,2.071241E-10,1.561635E-13,1.008824E-19,5.62374E-21,2.994016E-22,4.319311E-24,4.080771E-23,2.327305E-29,1.080609E-30,1.818808E-36,6.642746E-39,2.062504E-20,2.963073E-21,4.870314E-28,6.618462E-30,2.540524E-27,2.84727E-26,3.389966E-12,1.693207E-24,6406085,1.483429,52766100,863.5077
0.055,1,2422.062,1.373932,0.9451556,1.201565E-22,0,4.746384E-05,0.0001294008,0.0007083012,0.01856013,0.0005368328,0.001345947,1.235029E-07,6.924129E-10,0.002742252,0.03077391,9.274717E-16,4.142023E-18,3.466341E-19,2.594192E-20,1.194523E-19,2.538743E-21,2.05546E-10,1.552935E-13,9.98693E-20,5.562741E-21,2.969071E-22,4.41951E-24,6.009992E-23,1.098498E-29,6.488645E-31,2.513884E-36,7.451605E-39,2.050317E-20,2.949495E-21,4.819768E-28,6.478716E-30,2.515146E-27,3.997211E-26,3.386934E-12,1.684835E-24,6406117,1.483421,52766110,860.7319
0.056,1,2422.24,1.374024,0.9451614,1.174441E-22,0,4.733751E-05,0.0001287869,0.0007058697,0.01855728,0.0005361312,0.001346741,1.232403E-07,6.901777E-10,0.002733985,0.03078238,9.237216E-16,4.118592E-18,3.449733E-19,2.581738E-20,1.186686E-19,2.524631E-21,2.040711E-10,1.544787E-13,9.892427E-20,5.505874E-21,2.945717E-22,4.410941E-24,2.441887E-23,3.548547E-29,1.379764E-30,1.270624E-36,6.122823E-39,2.038436E-20,2.931768E-21,4.773771E-28,6.454444E-30,2.491454E-27,1.825836E-26,3.384089E-12,1.676937E-24,6406147,1.483414,52766110,858.125
