"time(s), volume(cm3)",
0.1196,1.435708614
0.12,1.436413965
0.1204,1.437125365
0.1208,1.437904234
0.1212,1.438777692
0.1216,1.439728188
0.122,1.440716394
0.1224,1.441683202
0.1228,1.442586274
0.1232,1.44339871
0.1236,1.444129574
0.124,1.444807425
0.1244,1.445482267
0.1248,1.446184996
0.1252,1.446920656
0.1256,1.447666569
0.126,1.44837907
0.1264,1.449041422
0.1268,1.44966963
0.1272,1.450301417
0.1276,1.450981884
0.128,1.45170868
0.1284,1.45242055
0.1288,1.453057471
0.1292,1.453598698
0.1296,1.4540758
0.13,1.454569003
0.1304,1.455119508
0.1308,1.455739676
0.1312,1.456386796
0.1316,1.457035083
0.132,1.457718703
0.1324,1.458473041
0.1328,1.45930267
0.1332,1.460160568
0.1336,1.460970794
0.134,1.46169265
0.1344,1.462348098
0.1348,1.462967964
0.1352,1.463571896
0.1356,1.464138238
0.136,1.464647807
0.1364,1.465120157
0.1368,1.465629789
0.1372,1.466243187
0.1376,1.466946505
0.138,1.4676659
0.1384,1.46831186
0.1388,1.468854661
0.1392,1.469376784
0.1396,1.46998268
0.14,1.470735536
0.1404,1.471567661
0.1408,1.472331935
0.1412,1.472910871
0.1416,1.473306561
0.142,1.473647657
0.1424,1.474103151
0.1428,1.474726245
0.1432,1.475433332
0.1436,1.476073833
0.144,1.476562064
0.1444,1.476964445
0.1448,1.477435789
0.1452,1.478054184
0.1456,1.478781668
0.146,1.479480004
0.1464,1.480037754
0.1468,1.48046369
0.1472,1.480854064
0.1476,1.481315749
0.148,1.481867174
0.1484,1.482453037
0.1488,1.483025014
0.1492,1.483593544
0.1496,1.484207118
0.15,1.484896638
0.1504,1.485611817
0.1508,1.486257466
0.1512,1.48676028
0.1516,1.487114809
0.152,1.487407024
0.1524,1.487746076
0.1528,1.488190056
0.1532,1.48872465
0.1536,1.489288145
0.154,1.489847398
0.1544,1.490395201
0.1548,1.490956686
0.1552,1.491550445
0.1556,1.492164622
0.156,1.492766075
0.1564,1.49332154
0.1568,1.493810394
0.1572,1.494243697
0.1576,1.494630109
0.158,1.49499409
0.1584,1.495359598
0.1588,1.4957592
0.1592,1.496209756
0.1596,1.496712705
0.16,1.497241428
0.1604,1.497761736
0.1608,1.498236374
0.1612,1.498671144
0.1616,1.499090908
0.162,1.499543661
0.1624,1.500045045
0.1628,1.500597041
0.1632,1.501181756
0.1636,1.501779085
0.164,1.502374239
0.1644,1.502951032
0.1648,1.50349052
0.1652,1.503975893
0.1656,1.504429174
0.166,1.504887655
0.1664,1.505408361
0.1668,1.505993122
0.1672,1.506606854
0.1676,1.507193992
0.168,1.507718659
0.1684,1.508188002
0.1688,1.508622305
0.1692,1.509018287
0.1696,1.509369567
0.17,1.509695145
0.1704,1.510063124
0.1708,1.510574102
0.1712,1.511254734
0.1716,1.512038142
0.172,1.512764487
0.1724,1.513318542
0.1728,1.513699422
0.1732,1.514028412
0.1736,1.514426145
0.174,1.514939881
0.1744,1.51550942
0.1748,1.516040922
0.1752,1.5164866
0.1756,1.516888961
0.176,1.517295235
0.1764,1.517746312
0.1768,1.518225273
0.1772,1.518699043
0.1776,1.519141362
0.178,1.519533758
0.1784,1.519879353
0.1788,1.520191912
0.1792,1.520511096
0.1796,1.520908859
0.18,1.521405255
0.1804,1.521977345
0.1808,1.522543925
0.1812,1.523044696
0.1816,1.523457382
0.182,1.523843883
0.1824,1.524269994
0.1828,1.524747902
0.1832,1.525244261
0.1836,1.525717259
0.184,1.526161263
0.1844,1.526592569
0.1848,1.527041324
0.1852,1.527484772
0.1856,1.527887513
0.186,1.528244278
0.1864,1.528598424
0.1868,1.529007418
0.1872,1.529505815
0.1876,1.530047692
0.188,1.530576331
0.1884,1.531031478
0.1888,1.531425408
0.1892,1.531788206
0.1896,1.53216246
0.19,1.532569324
0.1904,1.533010646
0.1908,1.53347341
0.1912,1.533942128
0.1916,1.53438818
0.192,1.534795301
0.1924,1.535145705
0.1928,1.535461952
0.1932,1.535799947
0.1936,1.53619902
0.194,1.536670982
0.1944,1.537184763
0.1948,1.537682942
0.1952,1.538131394
0.1956,1.538533573
0.196,1.538892959
0.1964,1.539235452
0.1968,1.539562103
0.1972,1.539883556
0.1976,1.540196605
0.198,1.540505172
0.1984,1.540831333
0.1988,1.541180479
0.1992,1.541564066
0.1996,1.54198501
0.2,1.542436565
0.2004,1.542896993
0.2008,1.543340542
0.2012,1.543733904
0.2016,1.544065858
0.202,1.544335992
0.2024,1.544570374
0.2028,1.544812007
0.2032,1.545111134
0.2036,1.545507243
0.204,1.545982295
0.2044,1.546502883
0.2048,1.546984679
0.2052,1.547387284
0.2056,1.547723838
0.206,1.548054786
0.2064,1.548449349
0.2068,1.548933917
0.2072,1.549467928
0.2076,1.549989632
0.208,1.550431565
0.2084,1.550792724
0.2088,1.551099044
0.2092,1.551377683
0.2096,1.55165933
0.21,1.551979071
0.2104,1.552365679
0.2108,1.552850034
0.2112,1.553414899
0.2116,1.553985752
0.212,1.554502046
0.2124,1.554920609
0.2128,1.555284062
0.2132,1.555650616
0.2136,1.556037776
0.214,1.556410556
0.2144,1.556716379
0.2148,1.556950511
0.2152,1.557177417
0.2156,1.557473076
0.216,1.557850996
0.2164,1.558239359
0.2168,1.558560601
0.2172,1.558801198
0.2176,1.559040411
0.218,1.559378132
0.2184,1.559836247
