#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
C10H19             0   698.200     6.590     0.000     0.000     0.000
C10H21             0   704.920     6.690     0.000     0.000     0.000
C10H21O2-1           0   704.920     6.690     0.000     0.000     0.000
C9H19CO            0   658.900     6.490     0.000     0.000     0.000
N-C9H19CHO           0   658.900     6.490     0.000     0.000     0.000
C10OOH1-3           0   704.920     6.690     0.000     0.000     0.000
C10OOH1-3O2           0   704.920     6.690     0.000     0.000     0.000
C10KET1-3           0   704.920     6.690     0.000     0.000     0.000
A2CH2              0   693.100     6.470     0.000     0.000     0.000
A2CHO              0   693.100     6.470     0.000     0.000     0.000
A2CH2O             0   693.100     6.470     0.000     0.000     0.000
C11H21             0   748.550     6.730     0.000     0.000     0.000
C11H22-1           0   748.550     6.730     0.000     0.000     0.000
C11H23-1           0   754.200     6.800     0.000     0.000     0.000
C11H23O2-1           0   754.200     6.800     0.000     0.000     0.000
A2C2HA*            0   693.100     6.470     0.000     0.000     0.000
A3--C14H9           0   772.000     6.960     0.000     0.000     0.000
A2C2HB*            0   693.100     6.470     0.000     0.000     0.000
A2R5-              0   693.100     6.470     0.000     0.000     0.000
A3R5               0   837.500     7.280     0.000     0.000     0.000
A2R5C2H2           0   772.000     6.960     0.000     0.000     0.000
A2C2HA             0   693.100     6.470     0.000     0.000     0.000
A2C2HB             0   693.100     6.470     0.000     0.000     0.000
P2--C12H9           0   676.500     6.310     0.000     0.000     0.000
C12H23             0   787.050     6.930     0.000     0.000     0.000
C12H24             0   787.050     6.930     0.000     0.000     0.000
C12H25             0   789.160     7.060     0.000     0.000     0.000
C12H25O            0   789.160     7.060     0.000     0.000     0.000
C12H25O2           0   789.160     7.060     0.000     0.000     0.000
C12O-R4            0   789.160     7.060     0.000     0.000     0.000
C12O-R5            0   789.160     7.060     0.000     0.000     0.000
C12OOH-T5           0   789.160     7.060     0.000     0.000     0.000
C12OOH-T6           0   789.160     7.060     0.000     0.000     0.000
C12OOH-T7           0   789.160     7.060     0.000     0.000     0.000
C12OOHO2-T6           0   789.160     7.060     0.000     0.000     0.000
C12OOHO2-T7           0   789.160     7.060     0.000     0.000     0.000
