,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
0.002242920397635209,6.558418372427716,1.0,1178.6372866213167,0.9741838071486243,0.0,0.0,2.908279673517694e-05,1.807437814377631e-08,1.0977744376834171e-06,0.013714832100075059,4.906837402308135e-07,0.00013518289584505674,1.4153098766696717e-05,2.2209539096391173e-06,0.011329622540350847,0.0005894904655639034,2.4799592918607155e-27,2.977276494922538e-23,3.5031496149675456e-20,8.192210486632312e-22,2.1037485036565803e-16,1.9520365226147314e-15,8.960658946193885e-10,5.715014197014006e-10,6.023442354366689e-16,1.7594085441508629e-16,1.0965753667841413e-15,2.5317479897601975e-30,6.95744290300156e-23,3.390352193743984e-26,3.9559929381679177e-22,1.3005758410626657e-25,3.720801588468773e-25,5.641692419668961e-21,5.857964233803106e-17,2.8804850820858126e-21,5.791290043549551e-19,5.4051882741308446e-21,6.363810051617357e-30,1.6104914365938377e-16,1.68796340033954e-33
0.0022551589128496836,6.558418372427716,1.0,1178.8243674252417,0.9741838071486243,0.0,0.0,2.8898641055281094e-05,1.801968856444023e-08,1.0982141645780088e-06,0.013710317187862564,4.900223233845036e-07,0.00013684617999759852,1.4120515261117673e-05,2.205975797422212e-06,0.011324223942875064,0.0005979726908359566,2.4582725786548877e-27,2.9593339661140816e-23,3.4774317150705306e-20,8.131956582483283e-22,2.091163991985922e-16,1.9715786830479134e-15,8.926943550169842e-10,5.688138499289186e-10,5.988970427363235e-16,1.7435283350241075e-16,1.0969322379319627e-15,2.5709284918056046e-30,7.060799742063257e-23,3.4068985928662964e-26,3.9954517994298696e-22,1.306985768229209e-25,3.761441579008181e-25,5.671839640365727e-21,5.894683837814339e-17,2.8810226876795663e-21,5.791875877175828e-19,5.3675258696253924e-21,6.428031082436409e-30,1.6061777101867928e-16,1.7140707208568597e-33
0.0022673974280641583,6.558418372427716,1.0,1179.0108713153177,0.9741838071486243,0.0,0.0,2.871574344074292e-05,1.7964790916544847e-08,1.0986276261642638e-06,0.01370581684296868,4.893482389832628e-07,0.00013849818402616226,1.4087933356172751e-05,2.1910848752700366e-06,0.011318833389882113,0.0006064422767347382,2.4365284840162e-27,2.9412898371836496e-23,3.4515881701361934e-20,8.071414468795708e-22,2.0785194965013396e-16,1.9905484600742325e-15,8.893182569947127e-10,5.661115214747818e-10,5.954331348157692e-16,1.7276485732579179e-16,1.096907011981771e-15,2.6089339580258472e-30,7.16104406734287e-23,3.421775809438283e-26,4.032569668542025e-22,1.3125111462336555e-25,3.7995088426916835e-25,5.69998164848223e-21,5.92938709994374e-17,2.8804794955847454e-21,5.790328922659051e-19,5.329785325982319e-21,6.489331064418515e-30,1.6018047807219948e-16,1.7393991962984888e-33
0.002279635943278633,6.558418372427716,1.0,1179.1967962631988,0.9741838071486243,0.0,0.0,2.8534099644301082e-05,1.790971562933493e-08,1.0990161373640492e-06,0.013701331096331973,4.886623272622789e-07,0.00014013894135117276,1.4055361520231703e-05,2.1762839811428835e-06,0.011313451010228877,0.0006148990207955303,2.414800356610544e-27,2.923179938296693e-23,3.4256608600717854e-20,8.010683149212456e-22,2.06582516613163e-16,2.0089529443216056e-15,8.859391135667637e-10,5.633971125062713e-10,5.919559686178408e-16,1.7118445405673048e-16,1.0965154695494949e-15,2.645758523866187e-30,7.258164387575993e-23,3.435026855730237e-26,4.067373670825346e-22,1.317192718184861e-25,3.8350121136096477e-25,5.726175093747361e-21,5.962124586426894e-17,2.8789019984568e-21,5.786744680255489e-19,5.292004916297707e-21,6.547747394772427e-30,1.5973775988757775e-16,1.763944744548105e-33
0.002291874458493108,6.558418372427716,1.0,1179.382140563982,0.9741838071486243,0.0,0.0,2.8353705104945268e-05,1.785449054518565e-08,1.0993809058478943e-06,0.01369685997228019,4.879653602883996e-07,0.00014176848865391135,1.4022807475110214e-05,2.161575586596665e-06,0.01130807692409822,0.0006233427341826559,2.393060307344243e-27,2.9050037226069985e-23,3.399656487974046e-20,7.949777530580477e-22,2.0530915947456803e-16,2.0267992053383833e-15,8.825583052182965e-10,5.606730824848589e-10,5.884687107406451e-16,1.6960605987269112e-16,1.095772666250449e-15,2.6813984337937376e-30,7.352154721147749e-23,3.4466949087425316e-26,4.0998941458353674e-22,1.3210316387466304e-25,3.867963507447979e-25,5.750471692853097e-21,5.992946048129941e-17,2.8763350938632815e-21,5.781214756949946e-19,5.2541964767875994e-21,6.603320283446751e-30,1.5929007102416476e-16,1.7877048871150835e-33
0.0023041129737075825,6.558418372427716,1.0,1179.5669028083914,0.9741838071486243,0.0,0.0,2.8174554978356116e-05,1.779914115273548e-08,1.0997230415510537e-06,0.013692403489094201,4.87258048064101e-07,0.00014338686556164508,1.399027826381628e-05,2.1469618327338786e-06,0.011302711243697597,0.0006317732405917924,2.3713806749037583e-27,2.8868096619419196e-23,3.3736267731519816e-20,7.888818752333502e-22,2.0403369856736776e-16,2.0440944758402757e-15,8.791770919018209e-10,5.579416887223413e-10,5.849742615756176e-16,1.6803757463821006e-16,1.0946936017157979e-15,2.715851918467826e-30,7.44301424733733e-23,3.4568233881637887e-26,4.130164227141148e-22,1.3240703987262097e-25,3.8983822995462115e-25,5.772927726695058e-21,6.021900981628737e-17,2.8728225865366953e-21,5.773828209514909e-19,5.216424628455601e-21,6.65609205518545e-30,1.5883782914061604e-16,1.810678324613122e-33
0.0023163514889220573,6.558418372427716,1.0,1179.751081857481,0.9741838071486243,0.0,0.0,2.79966441645458e-05,1.7743690800637578e-08,1.1000435653494473e-06,0.013687961659521037,4.865410441183366e-07,0.000144994114361745,1.3957780312045429e-05,2.1324445627147914e-06,0.011297354073895068,0.000640190375250632,2.3497256198562323e-27,2.8685851845458756e-23,3.3475675110608277e-20,7.827796469340393e-22,2.0275664647926645e-16,2.0608462053457966e-15,8.757966240389794e-10,5.552050018316706e-10,5.814752748397293e-16,1.6647231847531257e-16,1.093292648900402e-15,2.7491190673778625e-30,7.53074697896572e-23,3.465455791172158e-26,4.158219632227617e-22,1.3263156249194933e-25,3.9262913970290776e-25,5.793592837143807e-21,6.049038458568036e-17,2.8684069116779205e-21,5.764671966147101e-19,5.1786844645141975e-21,6.706106785841521e-30,1.5838141829040876e-16,1.8328650999382904e-33
0.002328590004136532,6.558418372427716,1.0,1179.934676819628,0.9741838071486243,0.0,0.0,2.7819967332951044e-05,1.7688160890655717e-08,1.1003434170160232e-06,0.013683534491240398,4.858149505594667e-07,0.00014659027974219834,1.3925319484154792e-05,2.118025351149673e-06,0.011292005512798194,0.0006485939840092914,2.3281730538245707e-27,2.850375894884672e-23,3.3215233112182495e-20,7.766815333926042e-22,2.014790933809454e-16,2.0770620380890356e-15,8.724179524727248e-10,5.524649200183267e-10,5.779741787417517e-16,1.6491938350659062e-16,1.0915841636819516e-15,2.781201720114722e-30,7.615361451997666e-23,3.4726356573288876e-26,4.184098332519443e-22,1.327813258656745e-25,3.9517194899333075e-25,5.8125218839852326e-21,6.074407353512169e-17,2.863129484795892e-21,5.753830886839858e-19,5.141023575954854e-21,6.75341055756177e-30,1.5792119191585473e-16,1.8542662745741163e-33
0.002347158666981581,6.558418372427716,1.0,1180.212116103344,0.9741838071486243,0.0,0.0,2.7554251620487356e-05,1.7603800694111137e-08,1.1007608043116076e-06,0.013676845454235528,4.846971712592586e-07,0.00014899097285699938,1.3876151628099076e-05,2.0963382384176115e-06,0.011283907149794754,0.0006613180556168864,2.295551489912756e-27,2.822734515252697e-23,3.282002742691028e-20,7.67429200248704e-22,1.9953938339810727e-16,2.100658729966995e-15,8.672972804301181e-10,5.48304948319212e-10,5.726630878421479e-16,1.625711767371721e-16,1.0884341540506363e-15,2.827624808425901e-30,7.737816203345754e-23,3.4808517657646835e-26,4.219295901433311e-22,1.3286661193190222e-25,3.9856264232570974e-25,5.838030588665302e-21,6.109626669748172e-17,2.8535646808399053e-21,5.734345317492848e-19,5.083978477557257e-21,6.820110206425408e-30,1.5721635700373873e-16,1.885242089929742e-33
0.0023657273298266297,6.558418372427716,1.0,1180.488207914963,0.9741838071486243,0.0,0.0,2.7291343581830677e-05,1.751936375905765e-08,1.1011353156514586e-06,0.013670190165580694,4.835614911920814e-07,0.0001513664323970833,1.3827098139225423e-05,2.074883586869048e-06,0.011275829110049106,0.000674010195531745,2.2632404418339736e-27,2.79520086503814e-23,3.242611310146242e-20,7.582082198985979e-22,1.9760285969758248e-16,2.1230659091879694e-15,8.621859326513115e-10,5.441465690877046e-10,5.67359127461972e-16,1.6025375493724464e-16,1.084653031357436e-15,2.8713482292278644e-30,7.853184412204562e-23,3.4859738185117974e-26,4.249722848322578e-22,1.3279421955762032e-25,4.0140127142316715e-25,5.859831664496726e-21,6.141048250759172e-17,2.842240925939023e-21,5.711439069333385e-19,5.027224139397e-21,6.880849293542272e-30,1.5650450959148757e-16,1.9144269603928473e-33
0.0023842959926716786,6.558418372427716,1.0,1180.7629517857629,0.9741838071486243,0.0,0.0,2.703122222874667e-05,1.7434904316227e-08,1.1014693777494515e-06,0.013663568597773734,4.824094712894323e-07,0.00015371683917191032,1.3778173592343558e-05,2.053664132573382e-06,0.01126777166259355,0.0006866699810423717,2.2310789813897537e-27,2.767723674553028e-23,3.203322167540079e-20,7.490125013384267e-22,1.9567107971545566e-16,2.144310660861094e-15,8.570865307020569e-10,5.39994536676575e-10,5.620683272483151e-16,1.5794684626450055e-16,1.0802845647337973e-15,2.9123979637831437e-30,7.961546058076262e-23,3.488150837381991e-26,4.275534428558531e-22,1.3256674965263245e-25,4.037015806074237e-25,5.878082595875623e-21,6.16883266229613e-17,2.8292853261464855e-21,5.685370822140544e-19,4.970732253556595e-21,6.935804119880886e-30,1.5578656076787688e-16,1.9418381681076034e-33
0.0024028646555167275,6.558418372427716,1.0,1181.0363480933834,0.9741838071486243,0.0,0.0,2.6773865855601077e-05,1.7350470175763788e-08,1.101765148687446e-06,0.0136569807058833,4.812425020786657e-07,0.00015604238149987857,1.3729390711372239e-05,2.032681771334895e-06,0.011259735052346101,0.0006992970273267497,2.1994414909449193e-27,2.7405030342545395e-23,3.164334427681956e-20,7.3988801970781e-22,1.937500208269348e-16,2.1644212169181993e-15,8.520013694270864e-10,5.358529973544655e-10,5.567959347659745e-16,1.5568703566240592e-16,1.075373715112734e-15,2.9508065434736523e-30,8.062997787964264e-23,3.4875311286200395e-26,4.296891909584109e-22,1.3220332548264662e-25,4.0548065652982887e-25,5.8929684837907386e-21,6.193140073606711e-17,2.814822063506101e-21,5.656392496785708e-19,4.914769231608428e-21,6.985157851638111e-30,1.5506332038322998e-16,1.9674965923763297e-33
0.0024214333183617764,6.558418372427716,1.0,1181.3083979622577,0.9741838071486243,0.0,0.0,2.6519252146995755e-05,1.7266103540866212e-08,1.1020245526609603e-06,0.013650426429572945,4.800618259014328e-07,0.00015834325409766248,1.3680760608592227e-05,2.011937680358519e-06,0.011251719502631029,0.0007118909834919404,2.1678880535221345e-27,2.7133389734135555e-23,3.12547657048672e-20,7.3079545874459815e-22,1.918361992890658e-16,2.1834253266637022e-15,8.469324568664411e-10,5.317255593689589e-10,5.5154649578085e-16,1.5342918868331042e-16,1.069959634940637e-15,2.9866123616592645e-30,8.15765106499351e-23,3.484258740388494e-26,4.313961743504538e-22,1.3169808913433606e-25,4.067546055410336e-25,5.9046212368829556e-21,6.214123627956737e-17,2.798964022056975e-21,5.62473863476153e-19,4.859079636726715e-21,7.029093315812695e-30,1.5433550952585008e-16,1.9914280725099165e-33
0.0024400019812068252,6.558418372427716,1.0,1181.5791031740082,0.9741838071486243,0.0,0.0,2.626735827498758e-05,1.7181841744323373e-08,1.1022493115485812e-06,0.013643905694923963,4.788685569963302e-07,0.00016061965707858488,1.3632292999406253e-05,1.991432425873796e-06,0.011243725217442838,0.0007244515290167887,2.1369949922852825e-27,2.6865126555910204e-23,3.0869925445724096e-20,7.217908288924096e-22,1.8993443724079576e-16,2.2013508843986872e-15,8.418815534883536e-10,5.27615356339841e-10,5.463239513646895e-16,1.5122799211315026e-16,1.0640823610614103e-15,3.01985900072915e-30,8.24563013208597e-23,3.478475869639858e-26,4.326913564379951e-22,1.310769566768846e-25,4.075423115184674e-25,5.913224120453817e-21,6.23193352863971e-17,2.7818234438616666e-21,5.590632916916718e-19,4.80399155707203e-21,7.067799631126154e-30,1.5360377219999512e-16,2.0136604868588487e-33
0.002458570644051874,6.558418372427716,1.0,1181.848466088407,0.9741838071486243,0.0,0.0,2.6018160984801648e-05,1.7097717925431737e-08,1.1024409726688771e-06,0.013637418416045155,4.776636983168854e-07,0.00016287179507023963,1.3583996390993163e-05,1.9711660574592395e-06,0.011235752383444349,0.000736978370612421,2.105989655187013e-27,2.659674771605646e-23,3.048584146750465e-20,7.128058835570467e-22,1.8803820694562827e-16,2.218224026968794e-15,8.368502055517366e-10,5.235251045096305e-10,5.411317000101782e-16,1.490114560160138e-16,1.0577737615923319e-15,3.0505943800124374e-30,8.327070089153162e-23,3.470318038833355e-26,4.335919546967968e-22,1.3032352780117557e-25,4.0785946631856757e-25,5.918877827214301e-21,6.246709035532894e-17,2.7634957960631037e-21,5.554275354659352e-19,4.749040642502815e-21,7.101459429062538e-30,1.5286868603976164e-16,2.0342265151896426e-33
0.002477139306896923,6.558418372427716,1.0,1182.1164895761092,0.9741838071486243,0.0,0.0,2.5771636667546653e-05,1.70137615668271e-08,1.1026009319875198e-06,0.013630964496445259,4.7644815616343817e-07,0.0001650998764664557,1.353587824152188e-05,1.9511381877475125e-06,0.01122780117167256,0.0007494712395419056,2.076019212774153e-27,2.633364877431757e-23,3.0107390149785e-20,7.039523078658059e-22,1.8616022885120837e-16,2.2340723163657403e-15,8.31839773711258e-10,5.194571522717378e-10,5.359726807004918e-16,1.4688233076734542e-16,1.051072599753926e-15,3.0788702915723297e-30,8.402115265473161e-23,3.4599224869442705e-26,4.341151973745419e-22,1.2948247576989182e-25,4.077282132339169e-25,5.921787781273397e-21,6.258592221252612e-17,2.7440879518613967e-21,5.515866034685196e-19,4.694976514552175e-21,7.130266727705507e-30,1.5213077073773673e-16,2.053158659375674e-33
0.002495707969741972,6.558418372427716,1.0,1182.3831769614073,0.9741838071486243,0.0,0.0,2.55277614222278e-05,1.6929998948647155e-08,1.1027304533035786e-06,0.01362454383020482,4.7522275297201077e-07,0.00016730411279074623,1.3487945093440407e-05,1.9313480588160443e-06,0.011219871738990729,0.0007619298893386598,2.0455245609069673e-27,2.6068864315114778e-23,2.972857193551559e-20,6.950929846976945e-22,1.842875370035768e-16,2.2489213672466447e-15,8.268514555209833e-10,5.154135241629204e-10,5.308494049408059e-16,1.4470074584033647e-16,1.0440052793287293e-15,3.104741818047512e-30,8.470918023219325e-23,3.4474160602044914e-26,4.3427841068448775e-22,1.285089011666276e-25,4.0716377700644127e-25,5.9220026594860945e-21,6.267712349852785e-17,2.723676656379702e-21,5.475580363457422e-19,4.6408507525450806e-21,7.15439878541802e-30,1.5139049515504572e-16,2.0704955821584157e-33
0.0025142766325870207,6.558418372427716,1.0,1182.6485319721564,0.9741838071486243,0.0,0.0,2.5286511110132033e-05,1.684645356731699e-08,1.1028306857978458e-06,0.013618156303001361,4.739882377418629e-07,0.00016948471813927577,1.3440202690182513e-05,1.911794598642764e-06,0.01121196422935598,0.0007743540938146978,2.0167680362039475e-27,2.5812768016730882e-23,2.935847902989551e-20,6.864356995987364e-22,1.8244119259122099e-16,2.262800044959065e-15,8.218863069651008e-10,5.11395958654856e-10,5.257640407632257e-16,1.4266466190953094e-16,1.036612590598605e-15,3.1282670282541742e-30,8.533637495875092e-23,3.432932972925499e-26,4.340987092127676e-22,1.2748896254555982e-25,4.061937381092289e-25,5.919783238053071e-21,6.274208833949146e-17,2.7023743600459585e-21,5.433608611798974e-19,4.588108027265099e-21,7.174058670626608e-30,1.5064828391677188e-16,2.086272288370724e-33
