"Time  (sec)","Volume  (cm3)","Temperature  (K)","Pressure  (bar)","Mole_fraction_AR  ()","Mole_fraction_HE  ()","Mole_fraction_N2  ()","Mole_fraction_H2  ()","Mole_fraction_H  ()","Mole_fraction_O  ()","Mole_fraction_O2  ()","Mole_fraction_OH  ()","Mole_fraction_H2O  ()","Mole_fraction_HO2  ()","Mole_fraction_H2O2  ()","Mole_fraction_CO  ()","Mole_fraction_CO2  ()","Mole_fraction_C  ()","Mole_fraction_CH  ()","Mole_fraction_CH2  ()","Mole_fraction_CH2(S)  ()","Mole_fraction_CH3  ()","Mole_fraction_CH4  ()","Mole_fraction_HCO  ()","Mole_fraction_CH2O  ()","Mole_fraction_CH2OH  ()","Mole_fraction_CH3O  ()","Mole_fraction_CH3OH  ()","Mole_fraction_C2H  ()","Mole_fraction_C2H2  ()","Mole_fraction_C2H3  ()","Mole_fraction_C2H4  ()","Mole_fraction_C2H5  ()","Mole_fraction_C2H6  ()","Mole_fraction_HCCO  ()","Mole_fraction_CH2CO  ()","Mole_fraction_CH2CHO  ()","Mole_fraction_CH3CHO  ()","Mole_fraction_CH3CO  ()","Mole_fraction_H2CC  ()","Mole_fraction_OH*  ()","Mole_fraction_CH*  ()","Specific_heat_Cp  (erg/g-K)","Heat_capacity_ratio  ()","Entropy  (erg/g-K)","Ppmvd15%O2_CO  (ppm)"
0.0052,1,2286.112,1.302872,0.9407605,1.79167E-22,0,0.0001079379,0.0008394196,0.00302981,0.02032102,0.0007798694,0.0008008011,3.467281E-07,2.385749E-09,0.008455786,0.02490451,1.797962E-15,4.766989E-17,1.982559E-18,1.437325E-19,1.875718E-18,2.624815E-20,3.548777E-09,1.049583E-12,4.267449E-18,2.998874E-19,6.616664E-21,2.348659E-23,1.563075E-22,1.992493E-27,1.186706E-28,1.977203E-33,3.949794E-36,1.033033E-19,2.025705E-20,2.7273E-26,5.3849E-27,1.231389E-25,7.448493E-25,1.247806E-11,8.495631E-24,6384690,1.489212,52741600,2677.141
0.0056,1,2294.447,1.307249,0.9410294,1.791812E-22,0,0.0001063787,0.0007859878,0.002861569,0.02023862,0.0007768042,0.0008311066,3.338124E-07,2.296198E-09,0.008139454,0.02523038,1.846451E-15,4.43444E-17,1.919566E-18,1.391827E-19,1.681067E-18,2.371E-20,3.214391E-09,9.882547E-13,3.747309E-18,2.608862E-19,5.987865E-21,2.358467E-23,1.529193E-22,1.775912E-27,2.204944E-28,5.865338E-33,9.690246E-36,1.006483E-19,1.890909E-20,2.346628E-26,1.239952E-26,1.06134E-25,6.583683E-25,1.129724E-11,8.337223E-24,6385930,1.488863,52744180,2575.955
0.006,1,2301.974,1.311198,0.9412722,1.79245E-22,0,0.0001047356,0.0007384549,0.002712566,0.02016136,0.0007730171,0.0008588595,3.219385E-07,2.212349E-09,0.007850367,0.02552808,1.883539E-15,4.128857E-17,1.854739E-18,1.345647E-19,1.517019E-18,2.157748E-20,2.925954E-09,9.330746E-13,3.312524E-18,2.286675E-19,5.441783E-21,2.351344E-23,1.491713E-22,1.613233E-27,2.187422E-28,1.532329E-32,1.793622E-35,9.78882E-20,1.771474E-20,2.070239E-26,2.845737E-26,9.231816E-26,5.841703E-25,1.031867E-11,8.144114E-24,6387056,1.488546,52746410,2483.53
0.0064,1,2308.805,1.314781,0.9414927,1.792873E-22,0,0.0001030488,0.0006959643,0.002579723,0.02008887,0.0007687097,0.0008843539,3.109986E-07,2.134001E-09,0.007585095,0.02580117,1.910848E-15,3.849275E-17,1.789525E-18,1.299536E-19,1.377526E-18,1.9767E-20,2.675587E-09,8.831817E-13,2.946009E-18,2.017926E-19,4.964983E-21,2.330924E-23,1.45216E-22,1.427765E-27,2.276466E-28,6.058017E-33,9.394689E-36,9.508387E-20,1.665156E-20,1.782191E-26,1.298332E-26,8.092325E-26,5.204387E-25,9.500458E-12,7.928313E-24,6388084,1.488259,52748340,2398.76
0.0068,1,2315.034,1.318047,0.9416939,1.793248E-22,0,0.0001013469,0.0006578082,0.00246058,0.02002082,0.0007640348,0.0009078439,3.008977E-07,2.060859E-09,0.007340773,0.02605262,1.929821E-15,3.594143E-17,1.724973E-18,1.254062E-19,1.257934E-18,1.821526E-20,2.45699E-09,8.378755E-13,2.634662E-18,1.791786E-19,4.546622E-21,2.300214E-23,1.411406E-22,1.320307E-27,1.866859E-28,6.148485E-33,9.1542E-36,9.227893E-20,1.570072E-20,1.606615E-26,1.257485E-26,7.149083E-26,4.655733E-25,8.810754E-12,7.698922E-24,6389027,1.487997,52750020,2320.722
0.0072,1,2320.737,1.321035,0.9418781,1.793613E-22,0,9.965051E-05,0.0006233985,0.002353148,0.01995687,0.0007591083,0.0009295497,2.915518E-07,1.992589E-09,0.007114987,0.02628494,1.941723E-15,3.361633E-17,1.66182E-18,1.209637E-19,1.154635E-18,1.68738E-20,2.265088E-09,7.965778E-13,2.368319E-18,1.599993E-19,4.177872E-21,2.261689E-23,1.369486E-22,1.149895E-27,9.55528E-29,1.536878E-33,2.676107E-36,8.9509E-20,1.484657E-20,1.378226E-26,4.15914E-27,6.354175E-26,4.181594E-25,8.225025E-12,7.462752E-24,6389894,1.487756,52751500,2248.638
0.0076,1,2325.978,1.323781,0.9420474,1.793928E-22,0,9.797444E-05,0.000592244,0.002255805,0.0198967,0.0007540189,0.0009496615,2.828866E-07,1.928842E-09,0.006905688,0.02650025,1.947657E-15,3.149839E-17,1.600564E-18,1.16655E-19,1.064785E-18,1.570513E-20,2.095762E-09,7.588057E-13,2.139004E-18,1.436154E-19,3.851479E-21,2.217428E-23,1.327781E-22,1.054378E-27,2.293721E-28,6.69042E-33,1.042181E-35,8.6795E-20,1.407625E-20,1.245294E-26,1.430872E-26,5.685409E-26,3.770977E-25,7.724172E-12,7.224829E-24,6390695,1.487535,52752810,2181.847
0.008,1,2330.812,1.326312,0.9422036,1.794228E-22,0,9.632895E-05,0.0005639322,0.002167213,0.01984002,0.0007488344,0.0009683446,2.748368E-07,1.869277E-09,0.006711123,0.02670035,1.948572E-15,2.956883E-17,1.541531E-18,1.124992E-19,9.861312E-19,1.46798E-20,1.945647E-09,7.241514E-13,1.940393E-18,1.295271E-19,3.561437E-21,2.16906E-23,1.286389E-22,9.422008E-28,5.181242E-29,6.353441E-34,1.271234E-36,8.415062E-20,1.337877E-20,1.098449E-26,1.748208E-27,5.113682E-26,3.414007E-25,7.293175E-12,6.988809E-24,6391437,1.487331,52753960,2119.786
0.0084,1,2335.284,1.328653,0.9423481,1.794497E-22,0,9.472115E-05,0.0005381146,0.00208626,0.01978658,0.0007436068,0.000985743,2.673445E-07,1.813567E-09,0.006529787,0.02688681,1.945286E-15,2.780982E-17,1.484917E-18,1.085084E-19,9.168701E-19,1.377429E-20,1.811973E-09,6.92268E-13,1.767428E-18,1.173392E-19,3.302744E-21,2.117941E-23,1.24592E-22,8.59945E-28,8.225391E-29,1.913039E-33,3.236175E-36,8.158938E-20,1.274488E-20,9.927238E-27,4.679293E-27,4.62432E-26,3.102662E-25,6.920106E-12,6.757301E-24,6392127,1.487141,52754990,2061.969
0.0088,1,2339.433,1.330824,0.9424822,1.794744E-22,0,9.315578E-05,0.0005144954,0.002012015,0.01973612,0.0007383758,0.001001982,2.603583E-07,1.761406E-09,0.006360376,0.02706098,1.938501E-15,2.620478E-17,1.430823E-18,1.046889E-19,8.555459E-19,1.296988E-20,1.692447E-09,6.628578E-13,1.616028E-18,1.067364E-19,3.07121E-21,2.065119E-23,1.206541E-22,7.82819E-28,3.040974E-29,2.174451E-34,5.914925E-37,7.911686E-20,1.216687E-20,8.951124E-27,6.748944E-28,4.201231E-26,2.830153E-25,6.595411E-12,6.532116E-24,6392769,1.486965,52755920,2007.975
