,mass,volume,temperature,AR,HE,N2,H2,H,O,O2,OH,H2O,HO2,H2O2,CO,CO2,C,CH,CH2,CH2(S),CH3,CH4,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,CH3CO,H2CC,OH*,CH*
0.0009169835082223119,1.5255993118778737,1.0,1544.284702922525,0.9480285908364667,-3.782762767684013e-27,0.0,3.0998141578964183e-06,7.897196127378209e-06,0.00045399957169099106,0.01902970002652954,0.00010027658397876731,0.0006281239991969203,5.118869894805846e-06,8.621558812113832e-08,0.00926239472680551,0.02248069037275187,2.728636031299979e-20,1.1169811656906188e-18,1.0213637264238117e-17,6.439776072403971e-19,4.798295126716231e-16,2.0617361356439628e-16,2.1682674066913484e-08,1.0031703287339893e-10,2.547670550695386e-15,4.246046266388809e-16,7.680093473473251e-17,-3.340265998730638e-24,-3.2696123029041276e-20,-2.738991725816636e-20,-4.28570530926206e-18,9.937860078601838e-21,7.15984077853749e-20,1.0559271107332105e-18,1.0595464281746779e-16,-1.7788846648200644e-21,2.104049530130275e-18,-2.913408523665807e-19,-6.78121389529465e-22,3.811725684972925e-12,-4.1399603324291004e-27
0.0009184869745775166,1.5255993118778737,1.0,1545.0166019293881,0.9480285908364667,-3.694536619504642e-27,0.0,3.100581468164883e-06,7.900555333869141e-06,0.00045396993067190557,0.019011070522011675,0.00010045745515189845,0.0006279939861767101,5.109523349408844e-06,8.606739327536123e-08,0.009229807240367784,0.022531891604555487,2.7244684212683245e-20,1.1127828734195259e-18,1.0169187857959856e-17,6.39590086806931e-19,4.784435881559279e-16,2.0503100969633782e-16,2.1593570321315314e-08,9.965620305567041e-11,2.5332311249839575e-15,4.104917784921594e-16,7.598481674151861e-17,-2.6118350716083543e-23,-2.7093077213125855e-19,9.397841771411272e-21,1.3789366833414274e-18,-1.125836856129167e-19,-1.3046157044559442e-19,6.913676075141111e-19,6.632540062322443e-17,2.2434628972478203e-20,3.1205293531632634e-19,2.625029341147933e-19,1.9792796529457627e-22,3.814109188123742e-12,-3.333460746916681e-26
0.0009207691866939352,1.5255993118778737,1.0,1546.1256694334988,0.9480285908364667,-3.223664851081849e-27,0.0,3.1016979728883103e-06,7.905336129499324e-06,0.0004539121283474702,0.01898286714381557,0.00010073039614431454,0.0006278007595665908,5.095347815522454e-06,8.584161633084644e-08,0.00918045421266502,0.022609434738862743,2.860018706399817e-20,1.1528425542237568e-18,1.0536603372121158e-17,6.558643769023438e-19,5.0559925109966e-16,2.0210561115677182e-16,2.145808645781015e-08,9.865738752685234e-11,2.5114631444065118e-15,4.081585660456282e-16,7.47614985030455e-17,-6.950309866275023e-23,-5.824088072466321e-19,9.200268720484354e-20,1.3805040724503946e-17,-1.1040970369012862e-19,-5.49287133809233e-19,2.413136946424585e-19,1.3881157379862898e-17,9.92452301671342e-20,-4.6899414632580566e-18,-6.60632623144421e-21,2.3114563981686055e-21,3.817464156922785e-12,-9.050851649476776e-26
0.0009230513988103537,1.5255993118778737,1.0,1547.232366098985,0.9480285908364667,-2.5204835891787733e-27,0.0,3.1027558636566427e-06,7.909732120634611e-06,0.000453838886631918,0.018954756033156998,0.00010100136809811098,0.0006276125346398761,5.081187572609966e-06,8.561486417299756e-08,0.009131240248981416,0.02268675937771029,2.52907366349315e-20,1.0910739797033137e-18,9.900209420752377e-18,6.10334784642014e-19,4.777020975755055e-16,1.9876656101318334e-16,2.132234579829963e-08,9.766409238084508e-11,2.4890429567395193e-15,2.998364616709971e-16,7.284056878710259e-17,1.9881844399644867e-24,-5.204091366081856e-19,1.517879323258968e-19,2.5498276694188727e-17,-1.1371243977690142e-18,-8.031459616314348e-19,6.341922712801558e-20,-1.5377442345224807e-17,1.7992055203165399e-19,-1.0905967363957991e-17,4.50116558748509e-18,3.599311851442815e-21,3.820500897454461e-12,5.711315092624739e-27
0.0009253336109267723,1.5255993118778737,1.0,1548.3366441164849,0.9480285908364667,-2.0671821882247123e-27,0.0,3.1037546517755135e-06,7.913742339776162e-06,0.0004537502129451173,0.018926738443153977,0.00010127034731843424,0.0006274293367750443,5.067043253642571e-06,8.538715479485437e-08,0.009082167557702085,0.022763862051295325,2.4045102588291335e-20,1.0360000479249995e-18,9.43502902231549e-18,5.922072563285274e-19,4.43468765823124e-16,1.9545965480745743e-16,2.1186367779183176e-08,9.667611669474724e-11,2.4670422751971102e-15,3.487682607999407e-16,7.100124067194485e-17,6.601115142610659e-23,1.0049399520636519e-19,1.3151928007450183e-19,2.121181479572762e-17,-5.835556005520566e-19,-5.030824687750589e-19,1.6060876669896057e-19,-1.1396394481580809e-17,1.2103958991576738e-19,-1.2185884939961219e-17,2.8132816792252742e-18,3.1737606842257403e-21,3.823218399937291e-12,9.100598148144166e-26
0.0009276158230431908,1.5255993118778737,1.0,1549.4384560808237,0.9480285908364667,-1.8465383256391535e-27,0.0,3.1046938594225373e-06,7.917365925341232e-06,0.00045364611841773453,0.018898815608627696,0.00010153731041708395,0.0006272511901416137,5.052915484814209e-06,8.515850574967896e-08,0.009033238320290059,0.02284073933209716,2.6046895813802807e-20,1.0541391984693617e-18,9.616312174826989e-18,6.098078231296141e-19,4.3949908736252374e-16,1.9201520277437875e-16,2.105017187574458e-08,9.5693644369639e-11,2.4452239716235878e-15,3.639790290170825e-16,7.004162130902202e-17,6.709497215726902e-23,5.333464675165748e-19,5.79226879097335e-20,1.0009680125570476e-17,-3.3681286141489855e-19,-1.1244591043763196e-19,2.926519625741105e-19,4.857509356648925e-18,3.9463116392128534e-20,-8.79060517862068e-18,1.056333052934943e-18,1.4408114802245152e-21,3.825615777061238e-12,8.567533711789173e-26
0.0009298980351596093,1.5255993118778737,1.0,1550.5377550032192,0.9480285908364667,-1.895403728846279e-27,0.0,3.105573020053202e-06,7.920602120089674e-06,0.000453526617887545,0.018870988745725636,0.00010180223440096276,0.0006270781176664362,5.038804883903433e-06,8.492893462463282e-08,0.008984454690711036,0.022917387835789005,2.6395433427567692e-20,1.0671501538840678e-18,9.733230222277665e-18,6.173844928927594e-19,4.520945367200257e-16,1.9008968464840904e-16,2.091377747014958e-08,9.471664922596828e-11,2.4233940603240492e-15,4.1453682383211283e-16,7.013130565216037e-17,3.349533512942778e-23,3.893827121202927e-19,6.063710168608143e-21,-5.189803648029315e-20,2.5236450914761247e-19,6.511529102276504e-20,3.1111516635082924e-19,1.1787383663536795e-17,-3.1107064056870337e-20,-3.3432057219906184e-18,-5.352863490181782e-19,1.8295683141195608e-22,3.827692263644943e-12,4.309601730122323e-26
0.000933355198563758,1.5255993118778737,1.0,1552.1981154606667,0.9480285908364667,-1.910153982782293e-27,0.0,3.1067894131291154e-06,7.924765097306774e-06,0.0004533162922409063,0.018829021248709606,0.00010219961495296155,0.0006268256552667986,5.0174637815085845e-06,8.45794574254473e-08,0.008910837869755031,0.023033054080888942,2.535495944460024e-20,1.0406496055299084e-18,9.443176139285557e-18,5.970471665442472e-19,4.364176661927442e-16,1.868104209072657e-16,2.0706828256332544e-08,9.324751722457533e-11,2.389741745218827e-15,3.4078574819570347e-16,6.949402352886285e-17,-6.974611658263702e-24,-1.3747855007974829e-21,-8.543819314740686e-21,1.2160998404484785e-19,-4.480508842664916e-19,-2.6463894546968356e-20,2.529617629734045e-19,1.2425601315808764e-17,6.804820447177636e-21,-2.404028594542581e-19,4.779143667250772e-19,-1.8513243721290388e-22,3.830225169567413e-12,-6.3931517653869754e-27
0.0009368123619679066,1.5255993118778737,1.0,1553.8524425779922,0.9480285908364667,-1.70820518070603e-27,0.0,3.1078654507229047e-06,7.928035879324806e-06,0.0004530707375767099,0.018787280798548897,0.00010259218804978176,0.0006265849554105252,4.9961655575424806e-06,8.422796900268115e-08,0.008837567311527452,0.02314817628234791,2.5030286699902876e-20,1.0225979255291107e-18,9.262147140365182e-18,5.868740092011784e-19,4.282698303662749e-16,1.8281408440336323e-16,2.0499534988035434e-08,9.179135644385654e-11,2.356265683790402e-15,3.636132675794996e-16,6.784815325760557e-17,3.458828938487273e-23,7.410171962998236e-20,2.2432917725120563e-20,3.0948108613026135e-18,-1.0760596558514266e-19,-8.746360115526426e-20,2.6784572880433736e-19,1.0189958239251448e-17,1.9889524319724124e-20,-9.722178830181113e-19,2.9149395811552903e-19,6.297802163487337e-22,3.832018597878509e-12,4.7537747147904305e-26
0.0009402695253720552,1.5255993118778737,1.0,1555.5005788464598,0.9480285908364667,-1.2052516729084867e-27,0.0,3.108799672848488e-06,7.930413254498232e-06,0.0004527900529666376,0.018745771369427133,0.00010297987923419197,0.0006263560807936236,4.974912257796949e-06,8.387453296721599e-08,0.008764650125581055,0.023262743269614163,2.5201335366671464e-20,1.0152169419934876e-18,9.179136775942835e-18,5.81638428107053e-19,4.118469637489611e-16,1.7704738671012653e-16,2.029196440134224e-08,9.034861517070365e-11,2.322636712166005e-15,2.9934852760336907e-16,6.549777780959422e-17,5.708429915408319e-23,3.1894716014415624e-19,3.200891730687664e-20,8.344507011969388e-18,-7.528787383493187e-19,-1.2947310956754492e-19,3.008863656594192e-19,1.104862913251096e-17,7.12676453176737e-20,-4.608226664287553e-18,8.271110045526796e-19,7.674630503643476e-22,3.833071519298482e-12,7.677589468861189e-26
